customer_id,subscription_id,unique_user_id,mr_device_id,channel_call_letter,channel_name,channel_type,channel_subtype,program_id,program_name,normal_program_name,program_theme,program_subtheme,date_time_start,end_date_time,program_start,program_end,device_type_used,real_start_time,real_session_duration,global_op_name,service_name,day,audio_language,subs_language,mib_id,producer,distributor,service_source,service_subtype,session_type,global_op_id,service_type,capture_day
,,78cabbd8e6f4259b5b0a7f29dfdf8cb3cf7a1789e6c7538fc74be6a5df4a8c03,6f5926d912320f4a52f8f4e4932704556bf5ee617d951158cb7b5f2be5355a88,HDGLO,HDGLO,,,258822496,Bom Dia São Paulo,Bom Dia São Paulo,News,News,2020-12-15T09:00:00Z,2020-12-15T11:30:00Z,2020-12-15T09:00:00Z,2020-12-15T11:30:00Z,Mediaroom,2020-12-15T04:48:04Z,32653838,VIVO BRASIL,IpTv,2020-12-15,,,b991b27acd1888882d12bc0d72d572e0d29ee45e098e4473c3fb334a72c8a938,,,1,301,1,201,1001,2020-12-16
,,d75b32cb897ba81a847588d28b17251ddb75d03d7a544dad55517ba6b17847dd,b9dddb4febcd4277a55aee9ff522f3f3ee607ab62f0bd36917c99fc21b440931,HDGLO,HDGLO,,,258822496,Bom Dia São Paulo,Bom Dia São Paulo,News,News,2020-12-15T09:00:00Z,2020-12-15T11:30:00Z,2020-12-15T09:00:00Z,2020-12-15T11:30:00Z,Mediaroom,2020-12-15T05:23:22Z,67178383,VIVO BRASIL,IpTv,2020-12-15,,,def9e69a1adca923991151c130cdc74aee792b503304511385c571ab1eff93e2,,,1,301,1,201,1001,2020-12-16
,,eb8913fce97a5149eb155a032a145c1d0df83d3e16d6f5f2846364578abf8281,f1efb694d750c022173d36c7df46b3fdb08943a2e7a8fb7c375bc6b7bd408138,HDGLO,HDGLO,,,258822496,Bom Dia São Paulo,Bom Dia São Paulo,News,News,2020-12-15T10:59:14Z,2020-12-15T11:30:00Z,2020-12-15T09:00:00Z,2020-12-15T11:30:00Z,Mediaroom,2020-12-15T10:59:14Z,4472824,VIVO BRASIL,IpTv,2020-12-15,,,7c1acf51d00cda3af38f0f6c5f9af5e88a102077a4ac57996df4f874716d8c37,,,1,301,1,201,1001,2020-12-16
,,a7099a558485997b9ec45e139d86a32eb065c1010d6839050f5d687b98fb115e,64f722a7133f5c8d12dffaa19986760e5576ca340eef65b64e1fafe8743294ac,HDGLO,HDGLO,,,258822496,Bom Dia São Paulo,Bom Dia São Paulo,News,News,2020-12-15T09:00:00Z,2020-12-15T10:42:12.753Z,2020-12-15T09:00:00Z,2020-12-15T11:30:00Z,Mediaroom,2020-12-15T06:41:47Z,14425753,VIVO BRASIL,IpTv,2020-12-15,,,4815be20c628b2a79ae6a25bede5b142cd2bd9b333eea15c5ae111a5fd1007e9,,,1,301,1,201,1001,2020-12-16
,,df348c7a77815a29d6f22158604574ed86c46027602574225eb39266ad84c8ed,82cdcfd1e6fc473a8c002be967fd66cebdf770be2c19376193b4471f1e515a6c,HDGLO,HDGLO,,,258822496,Bom Dia São Paulo,Bom Dia São Paulo,News,News,2020-12-15T09:13:13Z,2020-12-15T10:18:15.766Z,2020-12-15T09:00:00Z,2020-12-15T11:30:00Z,Mediaroom,2020-12-15T09:13:13Z,3902766,VIVO BRASIL,IpTv,2020-12-15,,,63cce90710892fe1e988c99d97697b8d76d5a16dd4b244d58e10ca0a3e244253,,,1,301,1,201,1001,2020-12-16
,,d1bb60a76d29555069d40ad953ae9443108b894e1203c037b3c0e961a0e09d05,f00d4aea54b7ca3e890241acfb4a0de215e833dcf8824109d869ed752f22d740,HDGLO,HDGLO,,,258822496,Bom Dia São Paulo,Bom Dia São Paulo,News,News,2020-12-15T09:00:00Z,2020-12-15T11:30:00Z,2020-12-15T09:00:00Z,2020-12-15T11:30:00Z,Mediaroom,2020-12-15T07:40:01Z,14397883,VIVO BRASIL,IpTv,2020-12-15,,,c39129d204510794f368c3b6f3dcd89c51dba802842790820287afe80ac3050b,,,1,301,1,201,1001,2020-12-16
,,60246d3b4b6654660039d521004085d2234c686964e5dcbdea7f3b87407e8c2d,dc0aaa0eff8d348f29851cbb528db0d52e0ae11c94cda0aa0cea5eed055d1aac,HDGLO,HDGLO,,,258822496,Bom Dia São Paulo,Bom Dia São Paulo,News,News,2020-12-15T09:42:26Z,2020-12-15T11:30:00Z,2020-12-15T09:00:00Z,2020-12-15T11:30:00Z,Mediaroom,2020-12-15T09:42:26Z,13116729,VIVO BRASIL,IpTv,2020-12-15,,,df8dfca2a5e1bfd46a81ce0ed7c69aecc575c2d81b46334ef8c35de5a93df20c,,,1,301,1,201,1001,2020-12-16
,,468ea5999fec08504ffbe62c323b99a643b721dabad38ceeb641e24cfba9a04e,29ecd59a235df48630135961a0c9a0948bbaedf2784b0e02a3d1affd36de9265,HDGLO,HDGLO,,,258822496,Bom Dia São Paulo,Bom Dia São Paulo,News,News,2020-12-15T09:00:00Z,2020-12-15T11:30:00Z,2020-12-15T09:00:00Z,2020-12-15T11:30:00Z,Mediaroom,2020-12-15T00:09:38Z,60240656,VIVO BRASIL,IpTv,2020-12-15,,,cb2e09fd38d58879bf0fd92f7457f2fd0b51a16f1555a3a8105450e363ff8c65,,,1,301,1,201,1001,2020-12-16
,,ceb447d3173abc3940eeb785fe9a4cc3e991e4acc3893e256840c3c4edc19ceb,ee25a542062f64ee5edd4a8872f0b8e34bbd324114f8a511f0e530f413e382c4,HDGLO,HDGLO,,,258822496,Bom Dia São Paulo,Bom Dia São Paulo,News,News,2020-12-15T09:50:48Z,2020-12-15T11:30:00Z,2020-12-15T09:00:00Z,2020-12-15T11:30:00Z,Mediaroom,2020-12-15T09:50:48Z,14366447,VIVO BRASIL,IpTv,2020-12-15,,,404700097c115031863817af6970bd84d42c5127dfb5066ab0eba5c938180fd7,,,1,301,1,201,1001,2020-12-16
,,657bfda449fbc75b2dc58d4d3abd748c0c99d3c2dd63f83ff57685a04931a121,bea0532ad66b0e47dbc0092c482d02356357a5f8b956568dbaaabfc751b3867c,HDGLO,HDGLO,,,258822496,Bom Dia São Paulo,Bom Dia São Paulo,News,News,2020-12-15T09:00:00Z,2020-12-15T11:30:00Z,2020-12-15T09:00:00Z,2020-12-15T11:30:00Z,Mediaroom,2020-12-15T03:15:25Z,85514096,VIVO BRASIL,IpTv,2020-12-15,,,b76653968f5e8ea2ceb7c768fb1c4075129845f6371a659b3cb2005e8c6e9197,,,1,301,1,201,1001,2020-12-16
